Musk;5001;Level_A
Bezos;5002;Level_B
Gates;5003;Level_C
Jobs;5004;Level_A
Wozniak;5005;Level_B
Cook;5006;Level_S
Zuckerberg;5007;Level_A
Altman;5008;Level_A
Nadella;5009;Level_B
Pichai;5010;Level_C
Thiel;5011;Level_S
Hoffman;5012;Level_A
Graham;5013;Level_B
Dorsey;5014;Level_C
Hastings;5015;Level_A
Ek;5016;Level_B
Andreessen;5017;Level_S
Horowitz;5018;Level_A
Butterfield;5019;Level_B
Collison;5020;Level_C
Levchin;5021;Level_A
Parker;5022;Level_B
Tennenbaum;5023;Level_S
Srinivasan;5024;Level_A
Balaji;5025;Level_B
Naval;5026;Level_C
Buterin;5027;Level_A
Hoskinson;5028;Level_B
Larimer;5029;Level_S
Armstrong;5030;Level_A
Powell;5031;Level_B
Saylor;5032;Level_C
Wood;5033;Level_A
Winklevoss;5034;Level_B
Silbert;5035;Level_S
Novogratz;5036;Level_A
Zhao;5037;Level_B
Bankman;5038;Level_C
Ellison;5039;Level_A
Benioff;5040;Level_B
Karp;5041;Level_S
Lonsdale;5042;Level_A
Rabois;5043;Level_B
Sacks;5044;Level_C
Conway;5045;Level_A
Maples;5046;Level_B
Lee;5047;Level_S
Khosla;5048;Level_A
Doerr;5049;Level_B
Moritz;5050;Level_C
Valentine;5051;Level_A
Draper;5052;Level_B
Jurvetson;5053;Level_S
Fisher;5054;Level_A
Meeker;5055;Level_B
Gurley;5056;Level_C
Wilson;5057;Level_A
Burnham;5058;Level_B
Feld;5059;Level_S
Suster;5060;Level_A
Botha;5061;Level_B
Leone;5062;Level_C
Goetz;5063;Level_A
McAdoo;5064;Level_B
Kwak;5065;Level_S
Vassallo;5066;Level_A
Bussgang;5067;Level_B
Skarzycki;5068;Level_C
Kopelman;5069;Level_A
Phin;5070;Level_B
Simons;5071;Level_S
Dalio;5072;Level_A
Griffin;5073;Level_B
Cohen;5074;Level_C
Schwarzman;5075;Level_A
Kravis;5076;Level_B
Roberts;5077;Level_S
Rubenstein;5078;Level_A
Munger;5079;Level_B
Buffett;5080;Level_C
Icahn;5081;Level_A
Ackman;5082;Level_B
Loeb;5083;Level_S
Einhorn;5084;Level_A
Chanos;5085;Level_B
Druckenmiller;5086;Level_C
Jones;5087;Level_A
Tudor;5088;Level_B
Bacon;5089;Level_S
Howard;5090;Level_A
Platt;5091;Level_B
Hohn;5092;Level_C
Mandel;5093;Level_A
Coleman;5094;Level_B
Laffont;5095;Level_S
Halvorsen;5096;Level_A
Gruber;5097;Level_B
Gavin;5098;Level_C
Friedman;5099;Level_A
Yellen;5100;Level_B
